Ticker,Report Date,Act,Est
REG,2019-02-13,0.98,0.946
REGN,2019-02-06,6.84,5.609
RF,2019-01-18,0.38,0.383
RHI,2019-01-29,0.95,0.909
RJF,2019-01-23,1.79,1.719
RL,2019-02-05,2.32,2.141
RMD,2019-01-24,1,0.954
ROK,2019-01-29,2.21,2.006
ROL,2019-01-23,0.155,0.168
ROP,2019-02-01,3.22,3.129
ROST,2019-03-05,1.199,1.131
RSG,2019-02-07,0.8,0.78
RTN,2019-01-31,2.93,2.879
SBAC,2019-02-21,1.961,1.973
SBUX,2019-01-24,0.75,0.65
SCHW,2019-01-16,0.654,0.637
SEE,2019-02-07,0.75,0.671
SHW,2019-01-31,3.54,3.609
SJM,2019-02-26,2.26,2.014
SLB,2019-01-18,0.36,0.358
SLG,2019-01-23,1.61,1.611
SNA,2019-02-07,3.03,3.018
SNPS,2019-02-20,1.08,0.966
SO,2019-02-20,0.25,0.232
SPG,2019-02-01,3.23,3.223
SPGI,2019-02-07,2.22,2.196
STT,2019-01-18,1.68,1.673
STX,2019-02-04,1.41,1.282
STZ,2019-01-09,2.37,2.062
SWK,2019-01-22,2.11,2.105
SWKS,2019-02-05,1.83,1.821
SYF,2019-01-23,1.09,0.928
SYK,2019-01-29,2.18,2.153
T,2019-01-30,0.86,0.862
TAP,2019-02-12,0.84,0.791
TDG,2019-02-05,3.85,3.431
TEL,2019-01-23,1.29,1.279
TFX,2019-02-21,2.77,2.758
TGT,2019-03-05,1.53,1.527
TIF,2019-03-22,1.675,1.601
TJX,2019-02-27,0.676,0.683
TMO,2019-01-30,3.25,3.185
TMUS,2019-02-07,0.75,0.693
TPR,2019-02-07,1.07,1.111
TRIP,2019-02-12,0.27,0.283
TROW,2019-01-30,1.54,1.659
TRV,2019-01-22,2.13,2.084
TSCO,2019-01-31,1.109,1.088
TSN,2019-02-07,1.58,1.56
TTWO,2019-02-06,2.898,2.796
TWTR,2019-02-07,0.31,0.252
TXN,2019-01-23,1.27,1.234
TXT,2019-01-24,1.15,0.985
UAA,2019-02-12,0.09,0.042
UAL,2019-01-15,2.41,2.053
UDR,2019-02-12,0.5,0.493
UHS,2019-02-27,2.37,2.334
ULTA,2019-03-14,3.61,3.557
UNH,2019-01-15,3.28,3.209
UNM,2019-02-05,1.3,1.305
UNP,2019-01-24,2.12,2.058
UPS,2019-01-31,1.94,1.902
URI,2019-01-23,4.85,4.844
USB,2019-01-16,1.1,1.058
UTX,2019-01-23,1.95,1.529
